
使用中連線

  協定   本機位址               外部位址               狀態            PID
  TCP    127.0.0.1:61773        127.0.0.1:61774        ESTABLISHED     51780
  TCP    127.0.0.1:61774        127.0.0.1:61773        ESTABLISHED     51780
  TCP    127.0.0.1:61812        127.0.0.1:5565         ESTABLISHED     51780
  TCP    127.0.0.1:61814        127.0.0.1:61815        ESTABLISHED     51780
  TCP    127.0.0.1:61815        127.0.0.1:61814        ESTABLISHED     51780
  TCP    127.0.0.1:61840        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:61851        127.0.0.1:61852        TIME_WAIT       0
  TCP    127.0.0.1:61853        127.0.0.1:5565         ESTABLISHED     51780
  TCP    127.0.0.1:61854        127.0.0.1:61855        ESTABLISHED     51780
  TCP    127.0.0.1:61855        127.0.0.1:61854        ESTABLISHED     51780
  TCP    127.0.0.1:61868        127.0.0.1:5575         ESTABLISHED     51780
  TCP    127.0.0.1:61870        127.0.0.1:61871        ESTABLISHED     51780
  TCP    127.0.0.1:61871        127.0.0.1:61870        ESTABLISHED     51780
  TCP    127.0.0.1:61881        127.0.0.1:5585         ESTABLISHED     51780
  TCP    127.0.0.1:61882        127.0.0.1:61883        ESTABLISHED     51780
  TCP    127.0.0.1:61883        127.0.0.1:61882        ESTABLISHED     51780
  TCP    127.0.0.1:61897        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:61907        127.0.0.1:61908        TIME_WAIT       0
  TCP    127.0.0.1:61909        127.0.0.1:5575         ESTABLISHED     51780
  TCP    127.0.0.1:61910        127.0.0.1:61911        ESTABLISHED     51780
  TCP    127.0.0.1:61911        127.0.0.1:61910        ESTABLISHED     51780
  TCP    127.0.0.1:61918        127.0.0.1:5037         ESTABLISHED     70096
  TCP    127.0.0.1:61919        127.0.0.1:5557         SYN_SENT        51780
  TCP    127.0.0.1:61920        127.0.0.1:2861         SYN_SENT        45492
  TCP    127.0.0.1:62739        0.0.0.0:0              LISTENING       22420
  TCP    192.168.2.103:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.2.103:54254    31.13.87.1:443         ESTABLISHED     13956
  TCP    192.168.2.103:54882    173.222.180.167:443    CLOSE_WAIT      59520
  TCP    192.168.2.103:56348    203.205.235.249:443    ESTABLISHED     12792
